species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Ajuga orientalis,Lamiaceae,999,21,0.61071,0.35091,0.35041,1.60206,0.19747,0.25254,0.15536,0.005,0.0063,1.6373,0.0665,1.6631,0.0037,0.0017
Ajuga pyramidalis,Lamiaceae,999,39,0.49112,0.22854,0.3379,1.22718,0.05707,0.23759,0.10945,0.0025,0.0018,0.6283,0.224,0.4589,0.0016,0.0012
Ajuga reptans,Lamiaceae,999,102,0.6253,0.28029,0.23835,1.4655,0.18483,0.18945,0.16464,2.00E-04,3.00E-04,0.082,0.0064,0.0829,1.00E-04,2.00E-04
Alcea biennis,Malvaceae,797,7,0.72857,0.685,1.19723,1.79835,0.93503,0.17826,0.2381,0.0118,0.0247,3.2998,0.1297,3.9811,0.0137,0.0069
Alcea rosea,Malvaceae,351,11,0.77,0.73636,1.30212,1.89005,0.65758,0.2,0.54,0.0108,0.0111,0.1875,0.1249,0.736,0.0157,0.0251
Alcea rugosa,Malvaceae,999,12,0.57,0.555,1.59287,1.87539,0.5703,0.28437,0.28361,0.0046,0.0059,0.0825,0.0748,1.0265,0.0054,0.0082
Alchemilla acutiloba,Rosaceae,999,28,0.53992,0.49124,1.07959,1.78372,0.81603,0.16111,0.2513,0.0026,0.0038,0.6444,0.0631,0.7837,0.0021,0.004
Alchemilla alpigena,Rosaceae,999,22,0.39072,0.33333,0.92808,1.49796,0.13973,0.30326,0.12396,0.0031,0.0032,0.8162,0.5795,0.9808,0.0039,0.0023
Alchemilla alpina,Rosaceae,999,69,0.37474,0.28451,0.79116,1.2872,0.06649,0.24356,0.109,0.0011,8.00E-04,0.2671,0.1034,0.1361,7.00E-04,5.00E-04
Alchemilla anisiaca,Rosaceae,999,19,0.364,0.24639,0.60089,0.89903,0.04825,0.23434,0.117,0.0021,0.0016,0.6281,0.6492,0.1817,0.0015,0.0016
Alchemilla catalaunica,Rosaceae,999,15,0.37778,0.34851,1.25385,1.71072,0.15057,0.35094,0.13774,0.003,0.0024,0.6724,0.0419,0.918,0.0036,0.0024
Alchemilla caucasica,Rosaceae,999,11,0.30519,0.304,1.72841,1.72893,0.047,0.26842,0.09103,0.0051,0.005,0.3146,0.0429,0.784,0.002,0.006
Alchemilla colorata,Rosaceae,999,10,0.35033,0.35033,2.12004,2.12004,0.14345,0.36536,0.15333,9.00E-04,9.00E-04,0.0195,0.0195,0.4739,0.0017,0.0013
Alchemilla conjuncta,Rosaceae,999,31,0.44515,0.3156,0.64305,1.40189,0.13748,0.24226,0.12444,0.0014,0.001,0.2915,0.1022,0.2857,7.00E-04,6.00E-04
Alchemilla coriacea,Rosaceae,999,29,0.37088,0.32086,1.0509,1.65202,0.23546,0.16882,0.14263,0.0029,0.0028,0.3605,0.0409,0.7656,0.003,0.0021
Alchemilla crinita,Rosaceae,999,31,0.49353,0.48063,1.64045,1.88124,0.74041,0.19126,0.27813,0.0017,0.0017,0.034,0.0308,0.4963,0.0026,0.0023
Alchemilla cymatophylla,Rosaceae,999,9,0.48776,0.48776,1.90066,1.90066,1.09633,0.20417,0.31667,0.0018,0.003,0.7223,0.7223,0.6934,0.0034,0.0057
Alchemilla filicaulis,Rosaceae,999,21,0.46683,0.46031,1.89131,2.08267,0.82153,0.36528,0.31378,0.0022,0.0025,0.1807,0.0287,0.7099,0.0041,0.0025
Alchemilla fissa,Rosaceae,999,30,0.30385,0.27659,1.28747,1.58035,0.07521,0.23012,0.13256,0.0021,0.002,0.2369,0.0459,0.6311,0.0028,0.0017
Alchemilla flabellata,Rosaceae,999,29,0.35051,0.33955,1.5582,1.81789,0.13935,0.30443,0.13379,0.0011,0.001,0.086,0.0189,0.3723,0.0013,8.00E-04
Alchemilla glabra,Rosaceae,999,53,0.42127,0.38375,1.18541,1.39285,0.37868,0.22263,0.18577,0.0013,0.0014,0.1914,0.1327,0.41,0.0014,0.0012
Alchemilla glaucescens,Rosaceae,999,36,0.45552,0.44305,1.56726,1.90872,0.5934,0.24067,0.24288,0.0011,0.0013,0.1233,0.0819,0.4773,0.0017,0.002
Alchemilla glomerulans,Rosaceae,997,14,0.44348,0.32174,1.08965,1.70795,0.18117,0.184,0.15,0.0136,0.0121,1.3229,0.1719,2.5603,0.0075,0.0082
Alchemilla hoppeana,Rosaceae,999,30,0.39824,0.29193,0.70266,1.4569,0.10142,0.26844,0.11567,0.0019,0.0012,0.4192,0.038,0.3306,0.0014,9.00E-04
Alchemilla hybrida,Rosaceae,999,29,0.44901,0.37418,0.88013,1.74491,0.30542,0.27871,0.17933,0.0018,0.0017,0.432,0.0216,0.5433,0.0014,0.0012
Alchemilla incisa,Rosaceae,999,16,0.3125,0.30781,1.4014,1.40411,0.11972,0.19677,0.16833,0.0059,0.0061,0.7559,0.7446,1.8523,0.0038,0.0049
Alchemilla micans,Rosaceae,999,24,0.52867,0.46646,0.95389,1.56899,0.80663,0.19161,0.21962,0.0018,0.0028,0.6401,0.0846,0.6726,0.0024,0.0033
Alchemilla mollis,Rosaceae,565,12,0.4381,0.40952,1.21927,1.82737,0.77924,0.18,0.27619,0.0127,0.0127,0.272,0.1031,2.3073,0.0066,0.0146
Alchemilla monticola,Rosaceae,999,51,0.50191,0.49286,1.62651,1.86855,1.09432,0.17312,0.33827,4.00E-04,5.00E-04,0.0664,0.0362,0.1291,7.00E-04,7.00E-04
Alchemilla nitida,Rosaceae,999,9,0.3,0.26364,1.01032,1.40411,0.02617,0.26364,0.10606,0.0034,0.0027,0.1734,0.058,0.1555,0.0027,0.0021
Alchemilla pentaphyllea,Rosaceae,999,8,0.17029,0.17029,1.49465,1.49465,0.00311,0.14058,0.15407,0.002,0.002,0.042,0.042,0.013,0.002,0.0014
Alchemilla plicata,Rosaceae,15,7,0.435,0.405,1.22731,1.92996,0.34127,0.22,0.24,0.0021,0.0022,0.068,0.0157,0.5338,0.0168,0.0068
Alchemilla saxatilis,Rosaceae,999,31,0.29074,0.2809,1.19694,1.24832,0.02251,0.22379,0.06985,0.0013,0.0011,0.0969,0.093,0.2877,0.0015,0.0011
Alchemilla straminea,Rosaceae,48,11,0.425,0.415,1.57594,1.61888,0.57025,0.205,0.195,0.0071,0.0071,0.1898,0.1903,1.4683,0.012,0.0033
Alchemilla subcrenata,Rosaceae,999,18,0.50479,0.48207,1.34374,1.78651,0.75444,0.18828,0.25197,0.0038,0.004,0.343,0.0707,0.9733,0.0023,0.0047
Alchemilla transiens,Rosaceae,999,8,0.31277,0.31277,1.83305,1.83305,0.03797,0.27347,0.0898,0.0024,0.0024,0.0647,0.0647,1.0511,0.0042,0.0028
Alchemilla velebitica,Rosaceae,999,17,0.35158,0.25864,0.76499,1.45172,0.02773,0.24954,0.10359,0.0027,0.0017,0.6857,0.474,0.143,0.0015,8.00E-04
Alchemilla vulgaris aggr.,Rosaceae,999,84,0.49071,0.45769,1.23475,1.7671,0.69958,0.20926,0.26812,3.00E-04,4.00E-04,0.061,0.0166,0.104,4.00E-04,4.00E-04
Alchemilla walasii,Rosaceae,999,5,0.5,0.49032,2.05203,2.13918,1.15691,0.11935,0.36774,0.0023,0.0026,0.0111,0.0064,0.1756,0.0019,0.0062
Alchemilla xanthochlora,Rosaceae,999,60,0.50608,0.41921,0.86313,1.49154,0.50629,0.20844,0.23898,9.00E-04,0.0011,0.2025,0.0912,0.3091,0.0012,0.001
Alhagi maurorum,Fabaceae,999,16,0.44653,0.42778,1.94189,1.97286,0.07634,0.37535,0.30986,0.0058,0.0059,0.037,0.036,1.0377,0.0058,0.006
Alisma gramineum,Alismataceae,999,24,0.35553,0.35553,1.71267,1.7126,0.12326,0.10054,0.13895,0.0049,0.0049,0.0428,0.0428,0.8725,0.0034,0.0041
Alisma lanceolatum,Alismataceae,999,33,0.35053,0.33658,1.41619,1.75262,0.19886,0.13169,0.14182,0.0025,0.0023,0.1395,0.0188,0.5554,0.0019,0.0016
Alisma plantago-aquatica,Alismataceae,999,65,0.33048,0.31082,1.31097,1.72473,0.18333,0.10498,0.11888,8.00E-04,7.00E-04,0.0517,0.0067,0.1519,5.00E-04,4.00E-04
Alkanna tinctoria,Boraginaceae,999,21,0.60654,0.48559,0.86156,1.70513,0.25716,0.33394,0.31622,0.0063,0.0058,0.6351,0.1175,1.1028,0.0041,0.0045
Alliaria petiolata,Brassicaceae,999,70,0.67947,0.25214,0.1495,1.33661,0.07498,0.19025,0.12819,3.00E-04,5.00E-04,0.1041,0.0067,0.1,2.00E-04,3.00E-04
Allium acutiflorum,Amaryllidaceae,999,11,0.71971,0.3049,0.28399,1.43017,0.06066,0.26277,0.15149,0.0038,0.0046,0.5709,0.1602,0.6865,0.0026,0.0023
Allium ampeloprasum,Amaryllidaceae,999,29,0.67239,0.59928,0.86544,1.23052,0.42735,0.22794,0.29618,0.0041,0.0057,0.3801,0.1177,0.8603,0.0031,0.0054
Allium angulosum,Amaryllidaceae,999,32,0.54714,0.53452,1.57689,2.01977,1.04392,0.2063,0.15285,0.0023,0.0025,0.1983,0.0123,0.3674,0.0015,0.0014
Allium atroviolaceum,Amaryllidaceae,999,11,0.5963,0.484,0.54049,1.55764,0.31946,0.25,0.21071,0.0048,0.0064,1.0149,0.0811,1.5644,0.0069,0.0119
Allium carinatum,Amaryllidaceae,999,55,0.5357,0.37943,0.59331,1.69304,0.46455,0.25711,0.14797,0.0011,0.0014,0.3189,0.0277,0.3751,7.00E-04,9.00E-04
Allium chamaemoly,Amaryllidaceae,999,10,0.73721,0.68298,1.0829,1.92495,0.15614,0.59333,0.3413,0.0097,0.0092,0.2124,0.0436,1.8492,0.0118,0.0058
Allium commutatum,Amaryllidaceae,999,12,0.32381,0.29242,0.69983,0.71437,0.10245,0.11493,0.1,0.0124,0.0111,0.6164,0.5883,1.6124,0.0086,0.0064
Allium cupani,Amaryllidaceae,999,11,0.42258,0.4,2.14874,2.14874,0.14682,0.37097,0.17742,0.0106,0.0112,0.0305,0.0305,3.6704,0.0113,0.0085
Allium denudatum,Amaryllidaceae,999,6,0.46471,0.43143,1.20722,2.04442,0.64529,0.39167,0.20541,0.0053,0.0053,0.3396,0.0284,2.2764,0.0064,0.0045
Allium ericetorum,Amaryllidaceae,999,29,0.52647,0.29222,0.46645,1.37982,0.19665,0.25818,0.11667,0.0033,0.004,0.7481,0.058,1.0564,0.0016,0.0014
Allium flavescens,Amaryllidaceae,999,12,0.47,0.46442,1.70106,1.95716,0.5817,0.43394,0.20463,0.0025,0.0025,0.0486,0.0319,1.3714,0.0038,0.0024
Allium flavum,Amaryllidaceae,999,57,0.44734,0.36954,0.87893,1.65178,0.22392,0.32012,0.17726,0.0013,0.0013,0.2519,0.0323,0.3573,0.001,8.00E-04
Allium frigidum,Amaryllidaceae,511,4,0.37,0.315,2.15181,2.15181,0,0.355,0.135,0,0,0,0,0,0,0
Allium fuscum,Amaryllidaceae,987,8,0.58966,0.25833,0.26201,1.45771,0.16856,0.275,0.1125,0.0114,0.0131,3.7492,0.159,3.1393,0.0088,0.0039
Allium guttatum,Amaryllidaceae,999,41,0.52961,0.46053,1.05953,1.81334,0.30636,0.3981,0.23052,0.0042,0.0045,0.6717,0.0963,1.0254,0.0037,0.0036
Allium inaequale,Amaryllidaceae,999,9,0.45476,0.44048,1.57714,2.09138,0.49694,0.41538,0.20256,0.0086,0.0086,0.1486,0.0335,3.4007,0.0092,0.0033
Allium lineare,Amaryllidaceae,999,10,0.46,0.43061,1.37654,1.58537,0.44865,0.38723,0.16042,0.0027,0.0031,0.139,0.0864,1.6122,0.0045,0.003
Allium lusitanicum,Amaryllidaceae,999,57,0.43543,0.32479,0.73303,1.55828,0.15253,0.28718,0.16289,0.0011,0.0011,0.2494,0.0281,0.3375,6.00E-04,8.00E-04
Allium moschatum,Amaryllidaceae,999,22,0.4766,0.3828,1.22341,1.54484,0.17497,0.37368,0.18901,0.0059,0.006,0.7071,0.1119,1.5002,0.0037,0.0032
Allium narcissiflorum,Amaryllidaceae,999,17,0.37324,0.35735,1.3098,1.4444,0.04562,0.2,0.15455,0.003,0.0031,0.096,0.0694,0.934,0.0039,0.0039
Allium neapolitanum,Amaryllidaceae,831,9,0.735,0.325,0.22234,1.48209,0.12301,0.22273,0.22273,0.0083,0.0241,3.3568,0.1436,3.3373,0.0029,0.0116
Allium nigrum,Amaryllidaceae,999,3,0.91132,0.91132,2.28143,2.28143,0.44943,0.13208,0.73774,0.0016,0.0016,0.0021,0.0021,1.2111,0.0025,0.0053
Allium oleraceum,Amaryllidaceae,999,63,0.54919,0.41684,0.6876,1.67986,0.47562,0.23933,0.20557,0.0013,0.0016,0.3313,0.0212,0.3976,9.00E-04,0.0015
Allium pallens,Amaryllidaceae,731,13,0.63478,0.51304,0.6925,1.52944,0.34995,0.38182,0.185,0.007,0.0179,2.2209,0.1133,3.062,0.0146,0.0088
Allium paniculatum,Amaryllidaceae,999,41,0.55895,0.40515,0.59261,1.65985,0.29315,0.33553,0.19292,0.0027,0.0037,0.7477,0.0527,0.8378,0.0028,0.0032
Allium parciflorum,Amaryllidaceae,307,8,0.565,0.385,1.07727,1.86328,0.15058,0.425,0.18571,0.0056,0.0048,0.2108,0.0189,0.5677,0.0019,0.007
Allium pendulinum,Amaryllidaceae,999,15,0.69315,0.11012,0.01909,1.30693,0.00519,0.19906,0.09907,1.00E-04,5.00E-04,0.0782,0.0046,0.0093,2.00E-04,0
Allium podolicum,Amaryllidaceae,999,12,0.42347,0.42347,1.29235,1.29235,0.22484,0.31863,0.24423,0.0049,0.0049,0.3459,0.3459,1.5432,0.0056,0.0056
Allium polyanthum,Amaryllidaceae,802,7,0.78,0.735,1.07988,1.36301,0.58503,0.17619,0.42857,0.0121,0.0238,2.4747,0.4211,3.0816,0.0029,0.0111
Allium regelianum,Amaryllidaceae,999,10,0.59783,0.59783,2.12671,2.12671,0.47431,0.275,0.21875,0.0043,0.0043,0.0116,0.0116,1.3354,0.006,0.0065
Allium roseum,Amaryllidaceae,999,41,0.68834,0.57689,0.77511,1.56683,0.44138,0.28274,0.26527,0.0043,0.006,0.6568,0.1149,0.9342,0.0027,0.004
Allium rotundum,Amaryllidaceae,999,42,0.53581,0.49638,1.16838,1.87521,0.55659,0.3276,0.22052,0.0017,0.0022,0.3647,0.0362,0.5353,0.0016,0.0022
Allium rubens,Amaryllidaceae,999,8,0.48559,0.48205,1.94243,1.94243,0.7809,0.45877,0.2,0.001,0.001,0.0208,0.0208,0.5971,0.0015,6.00E-04
Allium rubrovittatum,Amaryllidaceae,999,18,0.76586,0.49007,0.86095,1.85398,0.16683,0.38188,0.28469,0.0015,0.0028,0.3399,0.0132,0.4145,0.0015,0.0014
Allium saxatile,Amaryllidaceae,999,36,0.46742,0.34041,0.67391,1.55236,0.20458,0.32832,0.16099,0.0021,0.0022,0.5529,0.0408,0.5509,0.0016,0.0014
Allium schoenoprasum,Amaryllidaceae,999,61,0.3648,0.31714,1.04148,1.53305,0.33154,0.20134,0.13141,0.0027,0.0024,0.3821,0.0513,0.6704,0.0021,0.0016
Allium scorodoprasum,Amaryllidaceae,999,34,0.56957,0.4433,0.67743,1.70974,0.56638,0.18712,0.24586,0.0016,0.0022,0.4898,0.0277,0.5477,0.0014,0.0025
Allium sibthorpianum,Amaryllidaceae,999,7,0.37083,0.34583,0.89279,1.01435,0.28925,0.225,0.11667,0.0045,0.0053,0.4069,0.2991,1.7025,0.0026,6.00E-04
Allium sphaerocephalon,Amaryllidaceae,999,85,0.49984,0.42364,1.0145,1.72375,0.31065,0.35234,0.22323,0.001,0.0011,0.1641,0.0179,0.2967,8.00E-04,0.0011
Allium stamineum,Amaryllidaceae,337,9,0.615,0.555,0.95195,1.77728,0.33161,0.23,0.195,0.0176,0.0175,0.2636,0.0317,2.907,0.003,0.0115
Allium strictum,Amaryllidaceae,999,18,0.48214,0.44078,1.17813,1.70791,0.39768,0.34153,0.18584,0.0049,0.004,0.5961,0.0504,1.3551,0.0036,0.0025
Allium suaveolens,Amaryllidaceae,999,11,0.38889,0.38889,2.12704,2.12704,1.15303,0.25938,0.10725,0.0035,0.0035,0.0439,0.0439,0.7025,0.0041,0.0023
Allium subhirsutum,Amaryllidaceae,999,44,0.7039,0.27775,0.20338,1.35611,0.05605,0.26914,0.14645,8.00E-04,0.0018,0.2784,0.0229,0.2514,7.00E-04,0.001
Allium tenuiflorum,Amaryllidaceae,999,19,0.5449,0.46277,0.92797,1.75118,0.25055,0.33936,0.17526,0.0053,0.0066,0.5917,0.0311,0.9812,0.0026,0.0041
Allium triquetrum,Amaryllidaceae,999,41,0.64704,0.26015,0.21614,1.3344,0.07776,0.2359,0.1354,0.0021,0.0027,0.4664,0.0668,0.4099,0.0012,0.0014
Allium tulipifolium,Amaryllidaceae,999,7,0.4878,0.47805,2.161,2.161,0.62736,0.46341,0.21463,5.00E-04,9.00E-04,0.0168,0.0168,0.798,0.0016,6.00E-04
Allium ursinum,Amaryllidaceae,999,41,0.6921,0.16471,0.05865,1.32589,0.01073,0.18211,0.1025,2.00E-04,4.00E-04,0.0925,0.0051,0.0622,2.00E-04,1.00E-04
Allium victorialis,Amaryllidaceae,999,37,0.47364,0.22909,0.38258,0.958,0.04438,0.21,0.08721,0.0039,0.0026,0.956,0.4096,0.5175,0.0013,0.0013
Allium vineale,Amaryllidaceae,999,80,0.55839,0.50166,1.04201,1.86787,0.66813,0.20341,0.34605,0.0011,0.0012,0.1679,0.0136,0.2662,0.0012,0.0015
Allosorus acrosticus,Pteridaceae,999,15,0.74848,0.55253,0.80932,1.50835,0.29496,0.32391,0.30412,0.0035,0.0072,0.3507,0.0563,1.0994,0.0032,0.0036
Allosorus pteridioides,Pteridaceae,999,5,0.64,0.58889,1.24304,1.5639,0.75127,0.38966,0.18889,0.0114,0.0136,0.3041,0.2781,1.7213,0.0094,0.01
Alnus cordata,Betulaceae,999,20,0.695,0.15859,0.05876,1.29526,0,0.1622,0.10159,2.00E-04,6.00E-04,0.2426,0.0128,0,4.00E-04,2.00E-04
Alnus glutinosa,Betulaceae,999,90,0.64769,0.28979,0.2261,1.36567,0.04776,0.18056,0.11129,4.00E-04,3.00E-04,0.0709,0.0053,0.0764,1.00E-04,2.00E-04
Alnus incana,Betulaceae,999,72,0.67207,0.32016,0.24592,1.51857,0.02962,0.19588,0.11669,4.00E-04,5.00E-04,0.1211,0.0085,0.1115,2.00E-04,3.00E-04
Alnus viridis,Betulaceae,999,54,0.58182,0.13995,0.22686,0.95701,0.01139,0.16108,0.06621,0.0011,7.00E-04,0.2316,0.1416,0.0967,3.00E-04,6.00E-04
Alopecurus aequalis,Poaceae,999,40,0.56593,0.55703,1.57384,1.78688,0.09204,0.15919,0.25271,0.0017,0.0018,0.0426,0.0127,0.2351,0.001,0.001
Alopecurus arundinaceus,Poaceae,999,31,0.49405,0.48735,1.57233,1.93617,0.71832,0.32294,0.1681,0.0033,0.0033,0.3238,0.0296,0.7306,0.0046,0.0033
Alopecurus bulbosus,Poaceae,999,27,0.51316,0.51199,2.09824,2.28671,0.48788,0.45584,0.16479,0.0023,0.0023,0.0133,0.0131,0.652,0.0041,0.0018
Alopecurus geniculatus,Poaceae,999,63,0.48008,0.47856,2.1103,2.22766,0.7399,0.59887,0.24691,3.00E-04,3.00E-04,0.011,0.0028,0.0839,7.00E-04,3.00E-04
Alopecurus gerardi,Poaceae,999,17,0.28865,0.28299,1.70736,1.85754,0.02664,0.26991,0.1259,0.001,0.001,0.0935,0.0843,0.1501,0.0014,7.00E-04
Alopecurus glacialis,Poaceae,305,5,0.30952,0.30952,1.73283,1.73283,0,0.23,0.10476,0.0045,0.0045,0.059,0.059,0,0.0053,0.0045
Alopecurus magellanicus,Poaceae,999,17,0.27241,0.27053,1.76202,1.82745,0.04216,0.27413,0.13981,8.00E-04,8.00E-04,0.0141,0.0131,0.2418,0.0015,8.00E-04
Alopecurus myosuroides,Poaceae,999,34,0.78906,0.77595,1.55617,1.94638,0.70626,0.19402,0.67527,0.001,0.0013,0.12,0.0157,0.2347,9.00E-04,0.0021
Alopecurus ponticus,Poaceae,999,11,0.41026,0.39487,1.37253,1.51044,0.02169,0.14359,0.2,0.0014,0.0012,0.0492,0.034,0.0641,0.0021,0.0013
Alopecurus pratensis,Poaceae,999,82,0.52233,0.50852,1.51649,1.89198,1.13393,0.22116,0.28429,2.00E-04,2.00E-04,0.023,0.0043,0.0414,4.00E-04,3.00E-04
Alopecurus rendlei,Poaceae,999,21,0.60348,0.5963,1.78631,2.19891,1.09001,0.22185,0.1617,0.001,0.001,0.0143,0.0022,0.2118,0.0018,0.0018
Alopecurus riloensis,Poaceae,999,7,0.2,0.19677,1.61563,1.61563,0,0.11034,0.12333,0.0035,0.0036,1.6104,1.6104,0,0.0028,0.0032
Alopecurus vaginatus,Poaceae,999,6,0.52258,0.46452,1.07539,1.93991,0.72569,0.35938,0.14688,6.00E-04,9.00E-04,0.2099,0.0188,0.3983,0.0033,0.0014
Althaea cannabina,Malvaceae,999,15,0.69677,0.51343,0.52836,1.65027,0.43107,0.22,0.24265,0.0054,0.0108,1.5067,0.0693,1.6672,0.004,0.0081
Althaea hirsuta,Malvaceae,999,33,0.67268,0.63474,1.38245,1.86136,0.45401,0.29516,0.34785,0.0039,0.0045,0.3664,0.05,0.8738,0.0024,0.0049
Althaea officinalis,Malvaceae,999,57,0.47551,0.46134,1.41647,1.62671,0.544,0.22671,0.15893,0.0022,0.0022,0.072,0.025,0.3889,0.0019,0.0015
Alyssoides utriculata,Brassicaceae,999,21,0.52692,0.30189,0.46312,1.55835,0.16414,0.29434,0.13585,0.0059,0.0052,1.6112,0.0705,1.3184,0.0039,0.0023
Alyssum alyssoides,Brassicaceae,999,66,0.54104,0.51889,1.44827,1.87463,0.37553,0.33539,0.3036,0.0013,0.0013,0.0943,0.0215,0.3181,9.00E-04,0.0016
Alyssum cuneifolium,Brassicaceae,999,17,0.35118,0.34797,1.53123,1.53123,0.11919,0.36406,0.2031,0.0015,0.0014,0.1121,0.0432,0.4917,0.003,0.0019
Alyssum diffusum,Brassicaceae,999,9,0.41905,0.39,1.35766,2.26065,0.20954,0.38537,0.15714,0.0035,0.003,0.129,0.0072,1.4028,0.0054,0.0033
Alyssum granatense,Brassicaceae,999,9,0.71111,0.55405,0.53244,1.76955,0.18542,0.35946,0.30303,0.0193,0.0148,1.5495,0.0661,3.11,0.0088,0.0068
Alyssum hirsutum,Brassicaceae,999,25,0.5351,0.514,1.60198,1.8998,0.426,0.31611,0.31863,0.003,0.0034,0.0483,0.0403,0.8713,0.0033,0.0043
Alyssum lenense,Brassicaceae,999,5,0.45769,0.45769,1.64782,1.64782,0.64603,0.43571,0.1898,0.0023,0.0023,0.0847,0.0847,1.2339,0.003,0.0011
Alyssum minutum,Brassicaceae,999,21,0.60412,0.57019,1.07881,1.84427,0.35902,0.28646,0.34082,0.0071,0.007,0.4598,0.0358,1.2795,0.0031,0.0066
Alyssum montanum aggr.,Brassicaceae,999,51,0.4054,0.37104,1.25927,1.76826,0.1888,0.32522,0.20283,0.0014,0.0014,0.1777,0.031,0.4531,9.00E-04,0.0012
Alyssum repens,Brassicaceae,999,23,0.42234,0.38404,1.39014,1.96597,0.15114,0.32151,0.18152,0.0033,0.0029,0.3989,0.042,1.0349,0.0022,0.0027
Alyssum rostratum,Brassicaceae,999,7,0.52444,0.48409,1.18316,1.99711,0.67544,0.36818,0.17955,0.0036,0.0029,0.2461,0.0221,1.3751,0.0045,0.0019
Alyssum scardicum,Brassicaceae,999,9,0.39687,0.28387,0.71031,1.80562,0.05895,0.27097,0.10645,0.0055,0.0032,1.3416,0.0696,0.2573,0.0023,0.0013
Alyssum siculum,Brassicaceae,999,13,0.6087,0.46957,0.71887,1.69521,0.08092,0.38261,0.22609,0.0116,0.0076,0.8376,0.0702,0.7636,8.00E-04,0.0057
Alyssum simplex,Brassicaceae,999,36,0.62228,0.59638,1.4944,2.08543,0.36635,0.29944,0.3276,0.0023,0.0025,0.2184,0.0101,0.4255,9.00E-04,0.0021
Alyssum strigosum,Brassicaceae,999,11,0.73103,0.71034,1.36803,2.10095,0.40298,0.24643,0.48571,0.0172,0.0166,0.145,0.0762,2.4386,0.0038,0.0111
Alyssum trichostachyum,Brassicaceae,999,11,0.48955,0.47612,1.58024,2,0.8495,0.32121,0.12615,0.003,0.0029,0.0544,0.0419,0.9524,0.0031,0.0026
Alyssum turkestanicum,Brassicaceae,999,42,0.51057,0.50592,1.84268,1.93843,0.32296,0.36508,0.30764,0.0019,0.002,0.0874,0.0095,0.4133,0.0017,0.0018
Alyssum wulfenianum,Brassicaceae,999,10,0.37027,0.37027,1.49206,1.49206,0.06298,0.16053,0.17368,0.0019,0.0019,0.078,0.078,0.462,0.0047,0.0031
Amaranthus albus,Amaranthaceae,999,39,0.7841,0.77846,1.7728,1.9188,0.61245,0.14962,0.60775,0.004,0.0041,0.0709,0.0252,0.7868,0.0025,0.0061
Amaranthus blitoides,Amaranthaceae,999,16,0.82075,0.81483,1.72791,2.02042,0.92684,0.14563,0.66293,0.0024,0.0025,0.053,0.0128,0.4791,9.00E-04,0.0046
Amaranthus blitum,Amaranthaceae,999,25,0.81386,0.78025,1.18996,1.78886,0.63899,0.16402,0.68716,0.0014,0.0022,0.211,0.0197,0.5682,0.0013,0.0037
Amaranthus crispus,Amaranthaceae,999,10,0.86935,0.86774,2.10086,2.40792,1.04949,0.1303,0.76667,0.0046,0.0057,0.2331,0.0202,1.5853,0.0066,0.0127
Amaranthus deflexus,Amaranthaceae,999,13,0.86845,0.86485,2.05392,2.28965,1.24386,0.13824,0.66368,0.0019,0.002,0.0342,0.0341,0.4637,0.0018,0.0053
Amaranthus emarginatus,Amaranthaceae,999,11,0.84423,0.84423,1.91678,1.91678,0.18755,0.187,0.51569,0.0013,0.0013,0.0213,0.0213,0.8837,9.00E-04,0.0036
Amaranthus graecizans,Amaranthaceae,999,11,0.8481,0.8481,2.15786,2.15786,0.97661,0.15937,0.73727,0.0013,0.0013,0.0117,0.0117,0.6148,0.0017,0.004
Amaranthus hybridus aggr.,Amaranthaceae,999,26,0.83945,0.8345,1.84027,1.99848,0.76379,0.14481,0.76042,8.00E-04,8.00E-04,0.024,0.0114,0.2626,7.00E-04,0.002
Amaranthus retroflexus,Amaranthaceae,999,45,0.84294,0.83925,1.89398,2.021,0.76664,0.13309,0.75313,6.00E-04,6.00E-04,0.0106,0.0071,0.1851,5.00E-04,0.0014
Amaranthus viridis,Amaranthaceae,999,7,0.83548,0.83548,2.2058,2.2058,0.95988,0.14516,0.66333,0.0108,0.0108,0.024,0.024,1.7932,0.0026,0.0103
Ambrosia artemisiifolia,Compositae,999,47,0.74364,0.73293,1.56932,1.85955,0.70306,0.19046,0.55121,0.0016,0.0017,0.1013,0.0229,0.3366,0.0014,0.0027
Ambrosia maritima,Compositae,16,10,0.51905,0.51905,2.27228,2.27228,0.16932,0.2275,0.53178,0.015,0.015,0.0403,0.0403,4.4505,0.0181,0.0262
Ambrosia psilostachya,Compositae,999,14,0.53333,0.50435,1.5105,1.68694,0.17606,0.14143,0.40294,0.0064,0.0065,0.2438,0.2105,1.1279,0.0026,0.0089
Ambrosia trifida,Compositae,999,8,0.85567,0.85567,1.92911,1.92911,1.16591,0.10619,0.75556,9.00E-04,9.00E-04,0.0135,0.0135,0.4706,8.00E-04,0.0038
